variant,fold_id,test_season,transformed_feature,coefficient
single__team_form_efficiency__form_offense_successRate_diff,test_2022,2022,form_offense_successRate_diff,0.006276828158023546
single__team_form_efficiency__form_offense_successRate_diff,test_2022,2022,form_offense_successRate_diff__missing,-0.002464337495986018
combined,test_2023,2023,form_offense_ppa_diff,-0.016197343964127694
combined,test_2023,2023,form_offense_ppa_diff__missing,0.0016907461372059865
combined,test_2023,2023,form_defense_ppa_diff,0.0008914821658787872
combined,test_2023,2023,form_defense_ppa_diff__missing,0.0016907461372059865
combined,test_2023,2023,form_offense_successRate_diff,0.00971418642082412
combined,test_2023,2023,form_offense_successRate_diff__missing,0.0016907461372059865
combined,test_2023,2023,form_defense_successRate_diff,0.0027239607000321023
combined,test_2023,2023,form_defense_successRate_diff__missing,0.0016907461372059865
combined,test_2023,2023,form_offense_explosiveness_diff,-0.009879510910252852
combined,test_2023,2023,form_offense_explosiveness_diff__missing,0.0016907461372059865
combined,test_2023,2023,form_defense_explosiveness_diff,0.012590262051136595
combined,test_2023,2023,form_defense_explosiveness_diff__missing,0.0016907461372059865
combined,test_2023,2023,opening_coach_tenure_seasons_diff,-0.005571852167751462
combined,test_2023,2023,opening_coach_tenure_seasons_diff__missing,0.00033569050677447073
combined,test_2023,2023,opening_first_year_coach_diff,-0.0039054739201432303
combined,test_2023,2023,opening_first_year_coach_diff__missing,0.00033569050677447073
family__coaching_context,test_2023,2023,opening_coach_tenure_seasons_diff,-0.00565126013976823
family__coaching_context,test_2023,2023,opening_coach_tenure_seasons_diff__missing,0.00037634453782913493
family__coaching_context,test_2023,2023,opening_first_year_coach_diff,-0.0038186852004914278
family__coaching_context,test_2023,2023,opening_first_year_coach_diff__missing,0.00037634453782913493
family__team_form_efficiency,test_2023,2023,form_offense_ppa_diff,-0.01613150306196878
family__team_form_efficiency,test_2023,2023,form_offense_ppa_diff__missing,0.0016989620064072663
family__team_form_efficiency,test_2023,2023,form_defense_ppa_diff,0.0009112027947377077
family__team_form_efficiency,test_2023,2023,form_defense_ppa_diff__missing,0.0016989620064072663
family__team_form_efficiency,test_2023,2023,form_offense_successRate_diff,0.009781282899956955
family__team_form_efficiency,test_2023,2023,form_offense_successRate_diff__missing,0.0016989620064072663
family__team_form_efficiency,test_2023,2023,form_defense_successRate_diff,0.0027334862179937713
family__team_form_efficiency,test_2023,2023,form_defense_successRate_diff__missing,0.0016989620064072663
family__team_form_efficiency,test_2023,2023,form_offense_explosiveness_diff,-0.009899895932402036
family__team_form_efficiency,test_2023,2023,form_offense_explosiveness_diff__missing,0.0016989620064072663
family__team_form_efficiency,test_2023,2023,form_defense_explosiveness_diff,0.012611000734381641
family__team_form_efficiency,test_2023,2023,form_defense_explosiveness_diff__missing,0.0016989620064072663
lof__without_coaching_context,test_2023,2023,form_offense_ppa_diff,-0.01613150306196878
lof__without_coaching_context,test_2023,2023,form_offense_ppa_diff__missing,0.0016989620064072663
lof__without_coaching_context,test_2023,2023,form_defense_ppa_diff,0.0009112027947377077
lof__without_coaching_context,test_2023,2023,form_defense_ppa_diff__missing,0.0016989620064072663
lof__without_coaching_context,test_2023,2023,form_offense_successRate_diff,0.009781282899956955
lof__without_coaching_context,test_2023,2023,form_offense_successRate_diff__missing,0.0016989620064072663
lof__without_coaching_context,test_2023,2023,form_defense_successRate_diff,0.0027334862179937713
lof__without_coaching_context,test_2023,2023,form_defense_successRate_diff__missing,0.0016989620064072663
lof__without_coaching_context,test_2023,2023,form_offense_explosiveness_diff,-0.009899895932402036
lof__without_coaching_context,test_2023,2023,form_offense_explosiveness_diff__missing,0.0016989620064072663
lof__without_coaching_context,test_2023,2023,form_defense_explosiveness_diff,0.012611000734381641
lof__without_coaching_context,test_2023,2023,form_defense_explosiveness_diff__missing,0.0016989620064072663
lof__without_team_form_efficiency,test_2023,2023,opening_coach_tenure_seasons_diff,-0.00565126013976823
lof__without_team_form_efficiency,test_2023,2023,opening_coach_tenure_seasons_diff__missing,0.00037634453782913493
lof__without_team_form_efficiency,test_2023,2023,opening_first_year_coach_diff,-0.0038186852004914278
lof__without_team_form_efficiency,test_2023,2023,opening_first_year_coach_diff__missing,0.00037634453782913493
