variant,slice,n,status,delta_log_loss,delta_brier,delta_accuracy
family__market_context,favorite_gt_7,1700,ok,-9.54427590959539e-05,-1.77424253699765e-05,0.0
family__market_context,favorite_missing_spread,0,empty,,,
family__market_context,verified_espn_pickem,0,empty,,,
family__market_context,home_conference__Big Ten,413,ok,-0.0005337920483464709,-0.00016626899883148694,0.0
family__market_context,home_conference__ACC,386,ok,0.00044454851239750237,0.0001622945868385295,0.0
family__market_context,home_conference__SEC,372,ok,-0.0006752423817605324,-0.00020095292210980942,0.0026881720430107503
combined,overall,3195,ok,9.102549721362596e-05,3.145197729370608e-05,0.001251956181533731
combined,weeks_1_3,818,ok,0.0002465584121975062,0.00021780686723960052,0.0
combined,weeks_4_plus,2377,ok,3.750175953720625e-05,-3.2678565396987436e-05,0.0016827934371056452
combined,neutral_site,261,ok,0.0015374314244782639,0.0007850272962789673,-0.003831417624520994
combined,non_neutral,2934,ok,-3.7642514720825915e-05,-3.558386396573798e-05,0.001704158145875878
combined,favorite_lt_3,476,ok,0.001144247952382882,0.0005575314068321235,0.010504201680672343
combined,favorite_3_to_7,1019,ok,-0.00012044751926687525,-9.610368306794959e-05,-0.0009813542688911214
combined,favorite_gt_7,1700,ok,-7.71173762373345e-05,-3.939189950147304e-05,0.0
combined,favorite_missing_spread,0,empty,,,
combined,verified_espn_pickem,0,empty,,,
combined,home_conference__Big Ten,413,ok,0.001378550111217569,0.0006462386370970352,-0.002421307506053294
combined,home_conference__ACC,386,ok,0.0009227283962891519,0.00023404287866488072,0.0
combined,home_conference__SEC,372,ok,-4.275830379207868e-07,3.701390698618301e-05,0.005376344086021501
lof__without_site_temporal,overall,3195,ok,-1.538576709547712e-05,-1.8325660649798348e-05,0.001877934272300541
lof__without_site_temporal,weeks_1_3,818,ok,-0.00035497471484963183,-2.8658374622320126e-05,0.003667481662591676
lof__without_site_temporal,weeks_4_plus,2377,ok,0.00010147740466004418,-1.4769850793072692e-05,0.0012620950778292617
lof__without_site_temporal,neutral_site,261,ok,0.0012704098476356007,0.0006245905048835321,0.003831417624521105
lof__without_site_temporal,non_neutral,2934,ok,-0.00012976635858996666,-7.551758948559639e-05,0.001704158145875878
lof__without_site_temporal,favorite_lt_3,476,ok,0.000401659110140562,0.00019066104902459857,0.014705882352941235
lof__without_site_temporal,favorite_3_to_7,1019,ok,-0.00022111038159000618,-0.00013271714659698897,-0.0009813542688911214
lof__without_site_temporal,favorite_gt_7,1700,ok,-8.844578503863776e-06,-8.274336899760648e-06,0.0
lof__without_site_temporal,favorite_missing_spread,0,empty,,,
lof__without_site_temporal,verified_espn_pickem,0,empty,,,
lof__without_site_temporal,home_conference__Big Ten,413,ok,0.0012269252928447938,0.0005862018905357647,0.002421307506053294
lof__without_site_temporal,home_conference__ACC,386,ok,0.0004172435515588102,3.7025553337260986e-05,0.002590673575129543
lof__without_site_temporal,home_conference__SEC,372,ok,0.00034179832474412475,0.00014410206007128834,0.005376344086021501
lof__without_history,overall,3195,ok,6.5954399660062e-05,4.145041338554645e-05,0.0003129890453834605
lof__without_history,weeks_1_3,818,ok,0.0004378183446053785,0.0002107125576217006,0.0
lof__without_history,weeks_4_plus,2377,ok,-6.2015607477095e-05,-1.6797981223309888e-05,0.00042069835927649457
lof__without_history,neutral_site,261,ok,-0.0005427323070540391,-0.00010293169294295357,-0.007662835249042099
lof__without_history,non_neutral,2934,ok,0.00012010137663787113,5.429422039024412e-05,0.0010224948875254825
lof__without_history,favorite_lt_3,476,ok,0.0009282409347176612,0.0004577704358365575,0.0021008403361344463
lof__without_history,favorite_3_to_7,1019,ok,7.902044831142874e-05,1.4290916850900892e-05,0.0
lof__without_history,favorite_gt_7,1700,ok,-0.00018331777343572053,-5.883947115439825e-05,0.0
lof__without_history,favorite_missing_spread,0,empty,,,
lof__without_history,verified_espn_pickem,0,empty,,,
lof__without_history,home_conference__Big Ten,413,ok,-0.0003950204223111542,-0.00010636117529530531,-0.004842615012106477
lof__without_history,home_conference__ACC,386,ok,0.0009816142399105,0.0003767381803994052,-0.002590673575129543
lof__without_history,home_conference__SEC,372,ok,-0.0009928174548511914,-0.0003098099154152656,0.005376344086021501
lof__without_market_context,overall,3195,ok,0.0001515444614526018,4.788617097259418e-05,0.0003129890453834605
lof__without_market_context,weeks_1_3,818,ok,0.00042271380724534513,0.0002574560424419836,-0.0012224938875305957
lof__without_market_context,weeks_4_plus,2377,ok,5.8226613384282366e-05,-2.423337251161728e-05,0.0008413967185528781
lof__without_market_context,neutral_site,261,ok,0.0022634425033467576,0.0010345059714721438,-0.007662835249042099
lof__without_market_context,non_neutral,2934,ok,-3.6323769267987416e-05,-3.9880621096360924e-05,0.0010224948875254825
lof__without_market_context,favorite_lt_3,476,ok,0.00106510611642463,0.0005179655753863588,0.006302521008403339
lof__without_market_context,favorite_3_to_7,1019,ok,-3.3105553222112505e-06,-3.7098414824326964e-05,-0.001962708537782132
lof__without_market_context,favorite_gt_7,1700,ok,-1.1430883060936647e-05,-3.279530171790279e-05,0.0
lof__without_market_context,favorite_missing_spread,0,empty,,,
lof__without_market_context,verified_espn_pickem,0,empty,,,
lof__without_market_context,home_conference__Big Ten,413,ok,0.0019192455667026431,0.0008211859285247314,-0.002421307506053294
lof__without_market_context,home_conference__ACC,386,ok,0.000553004250531286,9.550836819990915e-05,0.0
lof__without_market_context,home_conference__SEC,372,ok,0.0006174815568039671,0.0002192937737417744,0.0026881720430107503
