variant,slice,n,status,delta_log_loss,delta_brier,delta_accuracy
single__home_classification,weeks_1_3,818,ok,0.0,0.0,0.0
single__home_classification,weeks_4_plus,2377,ok,0.0,0.0,0.0
single__home_classification,neutral_site,261,ok,0.0,0.0,0.0
single__home_classification,non_neutral,2934,ok,0.0,0.0,0.0
single__home_classification,favorite_lt_3,476,ok,0.0,0.0,0.0
single__home_classification,favorite_3_to_7,1019,ok,0.0,0.0,0.0
single__home_classification,favorite_gt_7,1700,ok,0.0,0.0,0.0
single__home_classification,favorite_missing_spread,0,empty,,,
single__home_classification,verified_espn_pickem,0,empty,,,
single__home_classification,home_conference__Big Ten,413,ok,0.0,0.0,0.0
single__home_classification,home_conference__ACC,386,ok,0.0,0.0,0.0
single__home_classification,home_conference__SEC,372,ok,0.0,0.0,0.0
single__away_classification,overall,3195,ok,-1.464948672258437e-06,-2.712004049942873e-07,0.0
single__away_classification,weeks_1_3,818,ok,-4.484876146293448e-06,-1.0424575365985955e-06,0.0
single__away_classification,weeks_4_plus,2377,ok,-4.2569723168739415e-07,-5.786718160205595e-09,0.0
single__away_classification,neutral_site,261,ok,3.152545423046327e-06,1.1036005236886304e-06,0.0
single__away_classification,non_neutral,2934,ok,-1.8757073493302912e-06,-3.9349864713877913e-07,0.0
single__away_classification,favorite_lt_3,476,ok,-6.282970296256352e-07,-2.972656610866764e-07,0.0
single__away_classification,favorite_3_to_7,1019,ok,9.644586002055533e-07,3.7309775866023465e-07,0.0
single__away_classification,favorite_gt_7,1700,ok,-3.1554264324218373e-06,-6.501020325955231e-07,0.0
single__away_classification,favorite_missing_spread,0,empty,,,
single__away_classification,verified_espn_pickem,0,empty,,,
single__away_classification,home_conference__Big Ten,413,ok,-1.5177326509463462e-06,-1.993245579423597e-07,0.0
single__away_classification,home_conference__ACC,386,ok,-1.2984044136521433e-06,-1.4838894035751338e-07,0.0
single__away_classification,home_conference__SEC,372,ok,-5.88145833257947e-07,-6.376587946554935e-08,0.0
single__home_entering_wins,overall,3195,ok,0.00011437489627330599,4.748214989638844e-05,0.001877934272300541
single__home_entering_wins,weeks_1_3,818,ok,0.0001302444247360257,7.188105550157142e-05,0.003667481662591676
single__home_entering_wins,weeks_4_plus,2377,ok,0.00010891369548138297,3.908572381935982e-05,0.0012620950778292617
single__home_entering_wins,neutral_site,261,ok,0.0008211189605471514,0.00039245565881357303,0.0
single__home_entering_wins,non_neutral,2934,ok,5.150502552508929e-05,1.679432241605272e-05,0.002044989775051076
single__home_entering_wins,favorite_lt_3,476,ok,0.0003706194899791848,0.0001829279022881325,0.012605042016806789
single__home_entering_wins,favorite_3_to_7,1019,ok,1.257339729654472e-05,7.383019780315969e-06,0.0
single__home_entering_wins,favorite_gt_7,1700,ok,0.00010364742618718115,3.359322957274813e-05,0.0
single__home_entering_wins,favorite_missing_spread,0,empty,,,
single__home_entering_wins,verified_espn_pickem,0,empty,,,
single__home_entering_wins,home_conference__Big Ten,413,ok,0.0002089671162038842,9.458160763634038e-05,0.0
single__home_entering_wins,home_conference__ACC,386,ok,0.00027149108201773853,7.24876405856778e-05,0.002590673575129543
single__home_entering_wins,home_conference__SEC,372,ok,2.885287874210274e-05,5.268804326757914e-05,0.0
single__home_entering_losses,overall,3195,ok,-8.03533926984068e-05,-2.6233505475509178e-05,0.000625978090766921
single__home_entering_losses,weeks_1_3,818,ok,7.383155032780753e-05,5.0701248609147376e-05,-0.0012224938875305957
single__home_entering_losses,weeks_4_plus,2377,ok,-0.00013341325108939817,-5.270915917399144e-05,0.0012620950778292617
single__home_entering_losses,neutral_site,261,ok,0.00046149660316019414,0.0002043252862195255,-0.003831417624520994
single__home_entering_losses,non_neutral,2934,ok,-0.00012855477269801963,-4.674333663856611e-05,0.0010224948875254825
single__home_entering_losses,favorite_lt_3,476,ok,-5.505269592964712e-05,-3.0654715164613044e-05,0.008403361344537785
single__home_entering_losses,favorite_3_to_7,1019,ok,2.4872856876911875e-05,5.03261924897358e-06,-0.001962708537782132
single__home_entering_losses,favorite_gt_7,1700,ok,-0.00015051143974481596,-4.373684975919612e-05,0.0
single__home_entering_losses,favorite_missing_spread,0,empty,,,
single__home_entering_losses,verified_espn_pickem,0,empty,,,
single__home_entering_losses,home_conference__Big Ten,413,ok,3.05140598926279e-05,5.027604203056146e-05,0.0
single__home_entering_losses,home_conference__ACC,386,ok,7.784655181253264e-05,-1.2070312050582732e-05,-0.002590673575129543
single__home_entering_losses,home_conference__SEC,372,ok,-0.00022462125220246154,-6.489281980717743e-05,0.0
single__away_entering_wins,overall,3195,ok,4.072184236481036e-06,7.277774582259422e-06,-0.0003129890453833495
single__away_entering_wins,weeks_1_3,818,ok,4.4395184592371795e-05,2.7898788532515484e-05,0.0
single__away_entering_wins,weeks_4_plus,2377,ok,-9.804220597819935e-06,1.8143911259538292e-07,-0.00042069835927638355
single__away_entering_wins,neutral_site,261,ok,0.0002590491801887085,0.00010249678872017998,-0.003831417624520994
single__away_entering_wins,non_neutral,2934,ok,-1.8609818470904926e-05,-1.1926285159169492e-06,0.0
single__away_entering_wins,favorite_lt_3,476,ok,3.063064995101339e-05,1.4202545160768576e-05,0.0
single__away_entering_wins,favorite_3_to_7,1019,ok,0.00010476989704921724,4.609907170796679e-05,-0.0009813542688911214
single__away_entering_wins,favorite_gt_7,1700,ok,-6.372357990253041e-05,-1.7931103398011183e-05,0.0
single__away_entering_wins,favorite_missing_spread,0,empty,,,
single__away_entering_wins,verified_espn_pickem,0,empty,,,
single__away_entering_wins,home_conference__Big Ten,413,ok,-0.0001008575597462591,-2.7262789381005126e-05,0.0
