unit_type,unit_id,n,delta_log_loss,delta_brier,delta_accuracy,log_loss_ci_low,log_loss_ci_high,calibration_status,recommendation,reviewer,review_notes
single_feature,single__home_field_advantage,3195,3.378459480507523e-06,6.036648314361459e-06,-0.0003129890453833495,-0.00019134077294201966,0.00019017216299990742,ok,,,
single_feature,single__is_week_1,3195,7.948123141665597e-05,3.103275914684289e-05,0.0009389671361502705,-5.372473152614465e-05,0.00022814348418737085,ok,,,
single_feature,single__is_weeks_1_3,3195,5.594016693577508e-05,2.5316993337409777e-05,0.0015649452269170805,-0.00014435551724585328,0.00022979899386310892,ok,,,
single_feature,single__home_conference,3195,-1.9759541459718477e-06,2.5938239215650416e-06,0.001251956181533731,-4.194042739238679e-05,3.726076814813961e-05,ok,,,
single_feature,single__away_conference,3195,7.905526980156452e-06,-1.4545013866662515e-06,0.0,-3.688196182399239e-05,5.558276224125191e-05,ok,,,
single_feature,single__home_classification,3195,0.0,0.0,0.0,0.0,0.0,ok,,,
single_feature,single__away_classification,3195,-1.464948672258437e-06,-2.712004049942873e-07,0.0,-2.8267865412878734e-06,-2.3590128684358875e-07,ok,,,
single_feature,single__home_entering_wins,3195,0.00011437489627330599,4.748214989638844e-05,0.001877934272300541,-2.9400674931912005e-05,0.0002828138124670504,ok,,,
single_feature,single__home_entering_losses,3195,-8.03533926984068e-05,-2.6233505475509178e-05,0.000625978090766921,-0.00030612422337859824,0.0001230639535030331,ok,,,
single_feature,single__away_entering_wins,3195,4.072184236481036e-06,7.277774582259422e-06,-0.0003129890453833495,-9.235952499587752e-05,8.846630185077584e-05,ok,,,
single_feature,single__away_entering_losses,3195,8.10073321644289e-05,3.1373427497982664e-05,0.000625978090766921,-1.306515775109651e-05,0.00017575222126923473,ok,,,
single_feature,single__home_previous_result,3195,-3.4049146749426384e-05,-1.39624330385002e-05,0.0003129890453834605,-0.00012646002874230067,7.617548148482753e-05,ok,,,
single_feature,single__away_previous_result,3195,3.5121869672027906e-05,9.593788662221048e-06,0.0009389671361502705,-2.098156810930174e-05,8.83961661012733e-05,ok,,,
single_feature,single__home_sos,3195,-0.0002223894274129279,-0.00010031797820844734,0.001877934272300541,-0.0005198919684755859,7.768103553376921e-05,ok,,,
single_feature,single__away_sos,3195,3.4273530310491296e-05,1.2553747079091515e-05,0.0003129890453834605,-5.28785023258732e-05,0.00010665596861464109,ok,,,
single_feature,single__home_days_rest,3195,4.9009315765458084e-05,1.573300116780585e-05,0.001251956181533731,-0.0001598208910338711,0.0002560209728745986,ok,,,
single_feature,single__away_days_rest,3195,4.404207787478409e-05,1.281606078273878e-05,0.000625978090766921,-0.0001234075787394817,0.0001786481944455575,ok,,,
single_feature,single__spread_home,3195,-1.2988085522747106e-05,1.3575934831866476e-06,0.001251956181533731,-0.00012152686406378675,8.754073028516271e-05,ok,,,
single_feature,single__total,3195,-1.5778178349412642e-06,-4.61720804106891e-06,0.0,-0.0002841324379610627,0.00023386503900361383,ok,,,
single_feature,single__line_provider_count,3195,-4.523456248728408e-05,-1.2632273639096026e-05,0.000625978090766921,-0.00023668344404042526,0.00011914001808735472,ok,,,
family,family__site_temporal,3195,0.00012948301319615219,5.842114022258649e-05,0.000625978090766921,-0.00021109166165262093,0.00046507942789833777,ok,,,
family,family__history,3195,5.0541884528243486e-05,4.576950123902357e-07,0.001251956181533731,-0.0005082473831531292,0.0006515215100768579,ok,,,
family,family__market_context,3195,-6.729678181693899e-05,-1.8602232708359034e-05,0.000625978090766921,-0.00033551201939826804,0.00022588622493270832,ok,,,
combined,combined,3195,9.102549721362596e-05,3.145197729370608e-05,0.001251956181533731,-0.0007641646122473394,0.000873786076776786,ok,,,
leave_family_out,lof__without_site_temporal,3195,-1.538576709547712e-05,-1.8325660649798348e-05,0.001877934272300541,-0.0007464807598188377,0.0006889425674687058,ok,,,
leave_family_out,lof__without_history,3195,6.5954399660062e-05,4.145041338554645e-05,0.0003129890453834605,-0.00037065775562854784,0.0004635781969382329,ok,,,
leave_family_out,lof__without_market_context,3195,0.0001515444614526018,4.788617097259418e-05,0.0003129890453834605,-0.0005104450554622219,0.0008276470158010501,ok,,,
