display_order,cfbd_game_id,away_team,home_team,provider_count,spread_home,total,away_moneyline,home_moneyline,home_implied_probability,espn_away_moneyline,espn_home_moneyline,moneyline_changed_from_espn,snapshot_at_utc,status
1,401858209,Tulane,Duke,2,-7.5,51.0,305.0,-402.5,0.7643748901002286,260.0,-325.0,True,2026-09-04T14:45:32Z,ok
2,401856777,Boston College,Cincinnati,2,-7.5,50.25,232.5,-287.5,0.711560828099558,245.0,-305.0,True,2026-09-04T14:45:32Z,ok
3,401856636,Baylor,Auburn,2,-7.5,59.5,230.0,-284.0,0.7093551316984559,240.0,-298.0,True,2026-09-04T14:45:32Z,ok
4,401860878,Wyoming,Colorado State,2,-3.0,46.5,142.5,-167.5,0.6029316263104185,130.0,-155.0,True,2026-09-04T14:45:32Z,ok
5,401856660,Clemson,LSU,2,-10.0,50.5,322.5,-427.5,0.7739628806341894,295.0,-375.0,True,2026-09-04T14:45:32Z,ok
6,401864497,UNLV,Hawai'i,2,3.0,55.5,-149.0,127.0,0.42402465814076257,-148.0,124.0,True,2026-09-04T14:45:32Z,ok
7,401864432,Western Kentucky,Nevada,2,1.25,52.5,-127.5,7.5,0.6240356591805245,-115.0,-105.0,True,2026-09-04T14:45:32Z,ok
8,401858210,UCLA,California,2,2.5,53.5,-130.0,110.0,0.4572564612326044,-130.0,110.0,False,2026-09-04T14:45:32Z,ok
9,401856661,Louisville,Ole Miss,2,-6.75,55.25,220.0,-270.0,0.7001620745542949,220.0,-270.0,False,2026-09-04T14:45:32Z,ok
10,401858212,SMU,Florida State,2,3.0,53.25,-159.0,134.5,0.40990417105190274,-148.0,124.0,True,2026-09-04T14:45:32Z,ok
